age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,y,duration_in_minutes
58,management,married,tertiary,0,2143,1,0,unknown,5,may,1,0,4.35
44,technician,single,secondary,0,29,1,0,unknown,5,may,1,0,2.5166666666666666
33,entrepreneur,married,secondary,0,2,1,1,unknown,5,may,1,0,1.2666666666666666
47,blue-collar,married,unknown,0,1506,1,0,unknown,5,may,1,0,1.5333333333333334
33,unknown,single,unknown,0,1,0,0,unknown,5,may,1,0,3.3
35,management,married,tertiary,0,231,1,0,unknown,5,may,1,0,2.316666666666667
28,management,single,tertiary,0,447,1,1,unknown,5,may,1,0,3.6166666666666667
42,entrepreneur,divorced,tertiary,1,2,1,0,unknown,5,may,1,0,6.333333333333333
58,retired,married,primary,0,121,1,0,unknown,5,may,1,0,0.8333333333333334
43,technician,single,secondary,0,593,1,0,unknown,5,may,1,0,0.9166666666666666
41,admin,divorced,secondary,0,270,1,0,unknown,5,may,1,0,3.7
29,admin,single,secondary,0,390,1,0,unknown,5,may,1,0,2.283333333333333
53,technician,married,secondary,0,6,1,0,unknown,5,may,1,0,8.616666666666667
58,technician,married,unknown,0,71,1,0,unknown,5,may,1,0,1.1833333333333333
57,services,married,secondary,0,162,1,0,unknown,5,may,1,0,2.9
51,retired,married,primary,0,229,1,0,unknown,5,may,1,0,5.883333333333334
45,admin,single,unknown,0,13,1,0,unknown,5,may,1,0,1.6333333333333333
57,blue-collar,married,primary,0,52,1,0,unknown,5,may,1,0,0.6333333333333333
60,retired,married,primary,0,60,1,0,unknown,5,may,1,0,3.65
33,services,married,secondary,0,0,1,0,unknown,5,may,1,0,0.9
28,blue-collar,married,secondary,0,723,1,1,unknown,5,may,1,0,4.366666666666666
56,management,married,tertiary,0,779,1,0,unknown,5,may,1,0,2.7333333333333334
32,blue-collar,single,primary,0,23,1,1,unknown,5,may,1,0,2.6666666666666665
25,services,married,secondary,0,50,1,0,unknown,5,may,1,0,5.7
40,retired,married,primary,0,0,1,1,unknown,5,may,1,0,3.0166666666666666
44,admin,married,secondary,0,-372,1,0,unknown,5,may,1,0,2.8666666666666667
39,management,single,tertiary,0,255,1,0,unknown,5,may,1,0,4.933333333333334
52,entrepreneur,married,secondary,0,113,1,1,unknown,5,may,1,0,2.1166666666666667
46,management,single,secondary,0,-246,1,0,unknown,5,may,2,0,4.25
36,technician,single,secondary,0,265,1,1,unknown,5,may,1,0,5.8
57,technician,married,secondary,0,839,0,1,unknown,5,may,1,0,3.75
49,management,married,tertiary,0,378,1,0,unknown,5,may,1,0,3.8333333333333335
60,admin,married,secondary,0,39,1,1,unknown,5,may,1,0,3.466666666666667
59,blue-collar,married,secondary,0,0,1,0,unknown,5,may,1,0,3.7666666666666666
51,management,married,tertiary,0,10635,1,0,unknown,5,may,1,0,5.6
57,technician,divorced,secondary,0,63,1,0,unknown,5,may,1,0,4.033333333333333
25,blue-collar,married,secondary,0,-7,1,0,unknown,5,may,1,0,6.083333333333333
53,technician,married,secondary,0,-3,0,0,unknown,5,may,1,0,27.766666666666666
36,admin,divorced,secondary,0,506,1,0,unknown,5,may,1,0,9.616666666666667
37,admin,single,secondary,0,0,1,0,unknown,5,may,1,0,2.283333333333333
44,services,divorced,secondary,0,2586,1,0,unknown,5,may,1,0,2.6666666666666665
50,management,married,secondary,0,49,1,0,unknown,5,may,2,0,3.0
60,blue-collar,married,unknown,0,104,1,0,unknown,5,may,1,0,0.36666666666666664
54,retired,married,secondary,0,529,1,0,unknown,5,may,1,0,24.866666666666667
58,retired,married,unknown,0,96,1,0,unknown,5,may,1,0,10.266666666666667
36,admin,single,primary,0,-171,1,0,unknown,5,may,1,0,4.033333333333333
58,self-employed,married,tertiary,0,-364,1,0,unknown,5,may,1,0,5.916666666666667
44,technician,married,secondary,0,0,1,0,unknown,5,may,2,0,3.75
55,technician,divorced,secondary,0,0,0,0,unknown,5,may,1,0,2.6666666666666665
29,management,single,tertiary,0,0,1,0,unknown,5,may,1,0,6.05
54,blue-collar,married,secondary,0,1291,1,0,unknown,5,may,1,0,4.433333333333334
48,management,divorced,tertiary,0,-244,1,0,unknown,5,may,1,0,4.216666666666667
32,management,married,tertiary,0,0,1,0,unknown,5,may,1,0,2.9833333333333334
42,admin,single,secondary,0,-76,1,0,unknown,5,may,1,0,13.116666666666667
24,technician,single,secondary,0,-103,1,1,unknown,5,may,1,0,2.4166666666666665
38,entrepreneur,single,tertiary,0,243,0,1,unknown,5,may,1,0,2.9
38,management,single,tertiary,0,424,1,0,unknown,5,may,1,0,1.7333333333333334
47,blue-collar,married,unknown,0,306,1,0,unknown,5,may,1,0,0.21666666666666667
40,blue-collar,single,unknown,0,24,1,0,unknown,5,may,1,0,3.0833333333333335
46,services,married,primary,0,179,1,0,unknown,5,may,1,0,29.633333333333333
32,admin,married,tertiary,0,0,1,0,unknown,5,may,1,0,2.3
53,technician,divorced,secondary,0,989,1,0,unknown,5,may,1,0,13.533333333333333
57,blue-collar,married,primary,0,249,1,0,unknown,5,may,1,0,2.7333333333333334
33,services,married,secondary,0,790,1,0,unknown,5,may,1,0,6.516666666666667
49,blue-collar,married,unknown,0,154,1,0,unknown,5,may,1,0,5.95
51,management,married,tertiary,0,6530,1,0,unknown,5,may,1,0,1.5166666666666666
60,retired,married,tertiary,0,100,0,0,unknown,5,may,1,0,8.8
59,management,divorced,tertiary,0,59,1,0,unknown,5,may,1,0,4.55
55,technician,married,secondary,0,1205,1,0,unknown,5,may,2,0,2.6333333333333333
35,blue-collar,single,secondary,0,12223,1,1,unknown,5,may,1,0,2.95
57,blue-collar,married,secondary,0,5935,1,1,unknown,5,may,1,0,4.3
31,services,married,secondary,0,25,1,1,unknown,5,may,1,0,2.8666666666666667
54,management,married,secondary,0,282,1,1,unknown,5,may,1,0,2.566666666666667
55,blue-collar,married,primary,0,23,1,0,unknown,5,may,1,0,4.85
43,technician,married,secondary,0,1937,1,0,unknown,5,may,1,0,3.0166666666666666
53,technician,married,secondary,0,384,1,0,unknown,5,may,1,0,2.933333333333333
44,blue-collar,married,secondary,0,582,0,1,unknown,5,may,1,0,3.5166666666666666
55,services,divorced,secondary,0,91,0,0,unknown,5,may,1,0,5.816666666666666
49,services,divorced,secondary,0,0,1,1,unknown,5,may,1,0,4.533333333333333
55,services,divorced,secondary,1,1,1,0,unknown,5,may,1,0,3.466666666666667
45,admin,single,secondary,0,206,1,0,unknown,5,may,1,0,3.216666666666667
47,services,divorced,secondary,0,164,0,0,unknown,5,may,1,0,3.533333333333333
42,technician,single,secondary,0,690,1,0,unknown,5,may,1,0,0.3333333333333333
59,admin,married,secondary,0,2343,1,0,unknown,5,may,1,1,17.366666666666667
46,self-employed,married,tertiary,0,137,1,1,unknown,5,may,1,0,4.1
51,blue-collar,married,primary,0,173,1,0,unknown,5,may,2,0,8.816666666666666
56,admin,married,secondary,0,45,0,0,unknown,5,may,1,1,24.45
41,technician,married,secondary,0,1270,1,0,unknown,5,may,1,1,23.15
46,management,divorced,secondary,0,16,1,1,unknown,5,may,2,0,3.1333333333333333
57,retired,married,secondary,0,486,1,0,unknown,5,may,2,0,3.0
42,management,single,secondary,0,50,0,0,unknown,5,may,1,0,0.8
30,technician,married,secondary,0,152,1,1,unknown,5,may,2,0,3.55
60,admin,married,secondary,0,290,1,0,unknown,5,may,1,0,9.716666666666667
60,blue-collar,married,unknown,0,54,1,0,unknown,5,may,1,0,3.683333333333333
57,entrepreneur,divorced,secondary,0,-37,0,0,unknown,5,may,1,0,2.8833333333333333
36,management,married,tertiary,0,101,1,1,unknown,5,may,1,0,7.1
55,blue-collar,married,secondary,0,383,0,0,unknown,5,may,1,0,4.783333333333333
60,retired,married,tertiary,0,81,1,0,unknown,5,may,1,0,1.6833333333333333
39,technician,married,secondary,0,0,1,0,unknown,5,may,1,0,3.3833333333333333
46,management,married,tertiary,0,229,1,0,unknown,5,may,1,0,3.283333333333333
44,blue-collar,married,secondary,0,-674,1,0,unknown,5,may,1,0,4.283333333333333
53,blue-collar,married,primary,0,90,0,0,unknown,5,may,1,0,2.066666666666667
52,blue-collar,married,primary,0,128,1,0,unknown,5,may,1,0,3.816666666666667
59,blue-collar,married,primary,0,179,1,0,unknown,5,may,3,0,0.9166666666666666
27,technician,single,tertiary,0,0,1,0,unknown,5,may,1,0,6.666666666666667
44,blue-collar,married,secondary,0,54,1,0,unknown,5,may,1,0,3.283333333333333
47,technician,married,tertiary,0,151,1,0,unknown,5,may,1,0,3.1666666666666665
34,admin,married,secondary,0,61,0,1,unknown,5,may,1,0,0.35
59,retired,single,secondary,0,30,1,0,unknown,5,may,1,0,8.566666666666666
45,management,married,tertiary,0,523,1,0,unknown,5,may,2,0,14.15
29,services,divorced,secondary,0,31,1,0,unknown,5,may,1,0,3.2333333333333334
46,technician,divorced,secondary,0,79,0,0,unknown,5,may,1,0,2.4
56,self-employed,married,primary,0,-34,1,1,unknown,5,may,2,0,3.533333333333333
36,blue-collar,married,primary,0,448,1,0,unknown,5,may,1,0,4.766666666666667
59,retired,divorced,primary,0,81,1,0,unknown,5,may,1,0,1.7833333333333334
44,blue-collar,married,secondary,0,144,1,0,unknown,5,may,2,0,4.116666666666666
41,admin,married,secondary,0,351,1,0,unknown,5,may,1,0,8.633333333333333
33,management,single,tertiary,0,-67,1,0,unknown,5,may,1,0,6.066666666666666
59,management,divorced,tertiary,0,262,0,0,unknown,5,may,1,0,2.966666666666667
57,technician,married,primary,0,0,0,0,unknown,5,may,1,0,1.6333333333333333
56,technician,divorced,unknown,0,56,1,0,unknown,5,may,1,0,7.316666666666666
51,blue-collar,married,secondary,0,26,1,0,unknown,5,may,1,0,1.3166666666666667
34,admin,married,unknown,0,3,1,0,unknown,5,may,3,0,2.0
43,services,married,secondary,0,41,1,1,unknown,5,may,2,0,2.1166666666666667
52,technician,married,tertiary,0,7,0,1,unknown,5,may,1,0,2.9166666666666665
33,technician,single,secondary,0,105,1,0,unknown,5,may,2,0,4.366666666666666
29,admin,single,secondary,0,818,1,1,unknown,5,may,1,0,1.0166666666666666
34,services,married,secondary,0,-16,1,1,unknown,5,may,1,0,1.3
31,blue-collar,married,secondary,0,0,1,0,unknown,5,may,1,0,2.3833333333333333
55,services,married,secondary,0,2476,1,0,unknown,5,may,1,1,9.65
55,management,married,unknown,0,1185,0,0,unknown,5,may,1,0,11.283333333333333
32,admin,single,secondary,0,217,1,0,unknown,5,may,1,0,5.75
38,technician,single,secondary,0,1685,1,0,unknown,5,may,1,0,3.0833333333333335
55,admin,single,secondary,0,802,1,1,unknown,5,may,2,0,1.6666666666666667
28,unemployed,single,tertiary,0,0,1,0,unknown,5,may,2,0,2.0833333333333335
23,blue-collar,married,secondary,0,94,1,0,unknown,5,may,1,0,3.216666666666667
32,technician,single,secondary,0,0,1,0,unknown,5,may,1,0,2.2666666666666666
43,services,single,unknown,0,0,0,0,unknown,5,may,1,0,1.2166666666666666
32,blue-collar,married,secondary,0,517,1,0,unknown,5,may,1,0,8.8
46,blue-collar,married,secondary,0,265,1,0,unknown,5,may,1,0,9.016666666666667
53,housemaid,divorced,primary,0,947,1,0,unknown,5,may,1,0,2.716666666666667
34,self-employed,single,secondary,0,3,1,0,unknown,5,may,1,0,5.016666666666667
57,unemployed,married,tertiary,0,42,0,0,unknown,5,may,1,0,0.7666666666666667
37,blue-collar,married,secondary,0,37,1,0,unknown,5,may,1,0,3.4
59,blue-collar,married,secondary,0,57,1,0,unknown,5,may,1,0,1.6333333333333333
33,services,married,secondary,0,22,1,0,unknown,5,may,1,0,1.1833333333333333
56,blue-collar,divorced,primary,0,8,1,0,unknown,5,may,2,0,2.6166666666666667
48,unemployed,married,secondary,0,293,1,0,unknown,5,may,1,0,4.05
43,services,married,primary,0,3,1,0,unknown,5,may,2,0,3.1
54,blue-collar,married,primary,0,348,1,0,unknown,5,may,2,0,9.65
51,blue-collar,married,unknown,0,-19,1,0,unknown,5,may,2,0,2.716666666666667
26,student,single,secondary,0,0,1,0,unknown,5,may,2,0,10.166666666666666
40,management,married,tertiary,0,-4,1,0,unknown,5,may,1,0,33.88333333333333
39,management,married,secondary,0,18,1,0,unknown,5,may,1,0,1.4166666666666667
50,technician,married,primary,0,139,0,0,unknown,5,may,2,0,1.9
41,services,married,secondary,0,0,1,0,unknown,5,may,2,0,1.9
51,blue-collar,married,unknown,0,1883,1,0,unknown,5,may,1,0,0.95
60,retired,divorced,secondary,0,216,1,0,unknown,5,may,1,0,3.966666666666667
52,blue-collar,married,secondary,0,782,1,0,unknown,5,may,3,0,1.55
48,blue-collar,married,secondary,0,904,1,0,unknown,5,may,2,0,2.1333333333333333
48,services,married,unknown,0,1705,1,0,unknown,5,may,1,0,1.7833333333333334
39,technician,single,tertiary,0,47,1,0,unknown,5,may,1,0,3.0166666666666666
47,services,single,secondary,0,176,1,0,unknown,5,may,2,0,5.05
40,blue-collar,married,secondary,0,1225,1,0,unknown,5,may,5,0,9.3
45,technician,married,secondary,0,86,1,0,unknown,5,may,1,0,4.5
26,admin,single,secondary,0,82,1,0,unknown,5,may,1,0,3.8
52,management,married,tertiary,0,271,1,0,unknown,5,may,1,0,1.65
54,technician,married,secondary,0,1378,1,0,unknown,5,may,1,0,4.0
54,admin,married,tertiary,0,184,0,0,unknown,5,may,2,1,11.216666666666667
50,blue-collar,married,primary,0,0,0,0,unknown,5,may,3,0,3.8833333333333333
35,blue-collar,married,secondary,0,0,1,0,unknown,5,may,1,0,17.6
44,services,married,secondary,0,1357,1,1,unknown,5,may,1,0,4.166666666666667
53,entrepreneur,married,unknown,0,19,1,0,unknown,5,may,1,0,4.2
35,retired,single,primary,0,434,0,0,unknown,5,may,1,0,2.3
60,admin,divorced,secondary,0,92,1,0,unknown,5,may,1,0,2.1666666666666665
53,admin,divorced,secondary,0,1151,1,0,unknown,5,may,1,0,6.866666666666666
48,unemployed,married,secondary,0,41,1,0,unknown,5,may,2,0,2.9833333333333334
34,technician,married,secondary,0,51,1,0,unknown,5,may,2,0,0.31666666666666665
54,services,married,secondary,0,214,1,0,unknown,5,may,2,0,7.633333333333334
51,management,married,secondary,0,1161,1,0,unknown,5,may,1,0,11.95
31,services,married,tertiary,0,37,1,0,unknown,5,may,1,0,5.216666666666667
35,technician,divorced,secondary,0,787,1,0,unknown,5,may,2,0,11.383333333333333
35,services,married,secondary,0,59,1,0,unknown,5,may,1,0,17.95
38,technician,married,secondary,0,253,1,0,unknown,5,may,1,0,6.933333333333334
36,admin,married,tertiary,0,211,1,0,unknown,5,may,2,0,2.433333333333333
58,retired,married,primary,0,235,1,0,unknown,5,may,1,0,2.783333333333333
40,services,divorced,unknown,0,4384,1,0,unknown,5,may,1,0,5.25
54,management,married,secondary,0,4080,0,0,unknown,5,may,1,0,2.3333333333333335
34,blue-collar,single,secondary,0,53,1,1,unknown,5,may,1,0,5.766666666666667
31,management,single,tertiary,0,0,1,0,unknown,5,may,1,0,9.366666666666667
51,retired,married,secondary,0,2127,1,0,unknown,5,may,1,0,2.8666666666666667
33,management,married,tertiary,0,377,1,0,unknown,5,may,1,0,3.6166666666666667
55,management,married,tertiary,0,73,1,0,unknown,5,may,2,0,2.3666666666666667
42,admin,married,secondary,0,445,1,0,unknown,5,may,1,0,1.1166666666666667
34,blue-collar,married,secondary,0,243,1,0,unknown,5,may,1,0,4.85
33,blue-collar,single,secondary,0,307,1,0,unknown,5,may,2,0,5.15
38,services,married,secondary,0,155,1,0,unknown,5,may,1,0,4.133333333333334
50,technician,divorced,tertiary,0,173,0,1,unknown,5,may,1,0,1.6333333333333333
43,management,married,tertiary,0,400,1,0,unknown,5,may,1,0,4.266666666666667
61,blue-collar,divorced,primary,0,1428,1,0,unknown,5,may,2,0,1.3666666666666667
47,admin,married,secondary,0,219,1,0,unknown,5,may,1,0,9.616666666666667
48,self-employed,married,tertiary,0,7,1,0,unknown,5,may,1,0,4.766666666666667
44,blue-collar,married,secondary,0,575,1,0,unknown,5,may,1,0,7.95
35,student,single,unknown,0,298,1,0,unknown,5,may,2,0,10.183333333333334
35,services,married,secondary,0,0,1,0,unknown,5,may,1,0,7.85
50,services,married,secondary,0,5699,1,0,unknown,5,may,2,0,6.35
41,management,married,tertiary,0,176,1,1,unknown,5,may,1,0,0.7
41,management,married,tertiary,0,517,1,0,unknown,5,may,1,0,4.183333333333334
39,services,single,unknown,0,257,1,0,unknown,5,may,1,0,6.8
42,retired,married,secondary,0,56,1,0,unknown,5,may,1,0,3.5833333333333335
38,blue-collar,married,secondary,0,-390,1,0,unknown,5,may,1,0,4.783333333333333
53,retired,married,secondary,0,330,1,0,unknown,5,may,2,0,3.6
59,housemaid,divorced,primary,0,195,0,0,unknown,5,may,2,0,6.1
36,services,married,secondary,0,301,1,0,unknown,5,may,1,0,3.5
54,blue-collar,married,primary,0,-41,1,0,unknown,5,may,1,0,4.8
40,technician,married,tertiary,0,483,1,0,unknown,5,may,1,0,2.8
47,unknown,married,unknown,0,28,0,0,unknown,5,may,2,0,5.633333333333334
53,unemployed,married,unknown,0,13,0,0,unknown,5,may,3,0,6.833333333333333
46,housemaid,married,primary,0,965,0,0,unknown,5,may,1,0,2.95
39,management,married,tertiary,0,378,1,1,unknown,5,may,2,0,2.1166666666666667
40,unemployed,married,secondary,0,219,1,0,unknown,5,may,1,0,5.95
28,blue-collar,married,primary,0,324,1,0,unknown,5,may,1,0,2.9166666666666665
35,entrepreneur,divorced,secondary,0,-69,1,0,unknown,5,may,1,0,5.0
55,retired,married,secondary,0,0,0,1,unknown,5,may,1,0,2.2666666666666666
43,technician,divorced,unknown,0,205,1,0,unknown,5,may,1,0,23.65
48,blue-collar,married,primary,0,278,1,0,unknown,5,may,2,0,2.0833333333333335
58,management,married,unknown,0,1065,1,0,unknown,5,may,3,0,3.55
33,management,single,tertiary,0,34,1,0,unknown,5,may,1,0,0.45
36,blue-collar,married,unknown,0,1033,0,0,unknown,5,may,2,0,3.966666666666667
53,services,divorced,secondary,0,1467,1,0,unknown,5,may,1,0,2.066666666666667
47,blue-collar,married,primary,0,-12,1,0,unknown,5,may,1,0,0.3
31,services,married,secondary,0,388,1,0,unknown,5,may,2,0,12.166666666666666
