age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,y,duration_minutes,cluster
58,management,married,tertiary,0,2143,1,0,unknown,5,may,1,0,4.35,0
44,technician,single,secondary,0,29,1,0,unknown,5,may,1,0,2.5166666666666666,0
33,entrepreneur,married,secondary,0,2,1,1,unknown,5,may,1,0,1.2666666666666666,0
35,management,married,tertiary,0,231,1,0,unknown,5,may,1,0,2.316666666666667,0
28,management,single,tertiary,0,447,1,1,unknown,5,may,1,0,3.6166666666666667,0
42,entrepreneur,divorced,tertiary,1,2,1,0,unknown,5,may,1,0,6.333333333333333,0
58,retired,married,primary,0,121,1,0,unknown,5,may,1,0,0.8333333333333334,0
43,technician,single,secondary,0,593,1,0,unknown,5,may,1,0,0.9166666666666666,0
41,admin,divorced,secondary,0,270,1,0,unknown,5,may,1,0,3.7,0
29,admin,single,secondary,0,390,1,0,unknown,5,may,1,0,2.283333333333333,0
53,technician,married,secondary,0,6,1,0,unknown,5,may,1,0,8.616666666666667,0
57,services,married,secondary,0,162,1,0,unknown,5,may,1,0,2.9,0
51,retired,married,primary,0,229,1,0,unknown,5,may,1,0,5.883333333333334,0
57,blue-collar,married,primary,0,52,1,0,unknown,5,may,1,0,0.6333333333333333,0
60,retired,married,primary,0,60,1,0,unknown,5,may,1,0,3.65,0
33,services,married,secondary,0,0,1,0,unknown,5,may,1,0,0.9,0
28,blue-collar,married,secondary,0,723,1,1,unknown,5,may,1,0,4.366666666666666,0
56,management,married,tertiary,0,779,1,0,unknown,5,may,1,0,2.7333333333333334,0
32,blue-collar,single,primary,0,23,1,1,unknown,5,may,1,0,2.6666666666666665,0
25,services,married,secondary,0,50,1,0,unknown,5,may,1,0,5.7,0
40,retired,married,primary,0,0,1,1,unknown,5,may,1,0,3.0166666666666666,0
44,admin,married,secondary,0,-372,1,0,unknown,5,may,1,0,2.8666666666666667,0
39,management,single,tertiary,0,255,1,0,unknown,5,may,1,0,4.933333333333334,0
52,entrepreneur,married,secondary,0,113,1,1,unknown,5,may,1,0,2.1166666666666667,0
46,management,single,secondary,0,-246,1,0,unknown,5,may,2,0,4.25,0
36,technician,single,secondary,0,265,1,1,unknown,5,may,1,0,5.8,0
57,technician,married,secondary,0,839,0,1,unknown,5,may,1,0,3.75,0
49,management,married,tertiary,0,378,1,0,unknown,5,may,1,0,3.8333333333333335,0
60,admin,married,secondary,0,39,1,1,unknown,5,may,1,0,3.466666666666667,0
59,blue-collar,married,secondary,0,0,1,0,unknown,5,may,1,0,3.7666666666666666,0
51,management,married,tertiary,0,10635,1,0,unknown,5,may,1,0,5.6,0
57,technician,divorced,secondary,0,63,1,0,unknown,5,may,1,0,4.033333333333333,0
25,blue-collar,married,secondary,0,-7,1,0,unknown,5,may,1,0,6.083333333333333,0
53,technician,married,secondary,0,-3,0,0,unknown,5,may,1,0,27.766666666666666,0
36,admin,divorced,secondary,0,506,1,0,unknown,5,may,1,0,9.616666666666667,0
37,admin,single,secondary,0,0,1,0,unknown,5,may,1,0,2.283333333333333,0
44,services,divorced,secondary,0,2586,1,0,unknown,5,may,1,0,2.6666666666666665,0
50,management,married,secondary,0,49,1,0,unknown,5,may,2,0,3.0,0
54,retired,married,secondary,0,529,1,0,unknown,5,may,1,0,24.866666666666667,0
36,admin,single,primary,0,-171,1,0,unknown,5,may,1,0,4.033333333333333,0
58,self-employed,married,tertiary,0,-364,1,0,unknown,5,may,1,0,5.916666666666667,0
44,technician,married,secondary,0,0,1,0,unknown,5,may,2,0,3.75,0
55,technician,divorced,secondary,0,0,0,0,unknown,5,may,1,0,2.6666666666666665,0
29,management,single,tertiary,0,0,1,0,unknown,5,may,1,0,6.05,0
54,blue-collar,married,secondary,0,1291,1,0,unknown,5,may,1,0,4.433333333333334,0
48,management,divorced,tertiary,0,-244,1,0,unknown,5,may,1,0,4.216666666666667,0
32,management,married,tertiary,0,0,1,0,unknown,5,may,1,0,2.9833333333333334,0
42,admin,single,secondary,0,-76,1,0,unknown,5,may,1,0,13.116666666666667,0
24,technician,single,secondary,0,-103,1,1,unknown,5,may,1,0,2.4166666666666665,0
38,entrepreneur,single,tertiary,0,243,0,1,unknown,5,may,1,0,2.9,0
38,management,single,tertiary,0,424,1,0,unknown,5,may,1,0,1.7333333333333334,0
46,services,married,primary,0,179,1,0,unknown,5,may,1,0,29.633333333333333,0
32,admin,married,tertiary,0,0,1,0,unknown,5,may,1,0,2.3,0
53,technician,divorced,secondary,0,989,1,0,unknown,5,may,1,0,13.533333333333333,0
57,blue-collar,married,primary,0,249,1,0,unknown,5,may,1,0,2.7333333333333334,0
33,services,married,secondary,0,790,1,0,unknown,5,may,1,0,6.516666666666667,0
51,management,married,tertiary,0,6530,1,0,unknown,5,may,1,0,1.5166666666666666,0
60,retired,married,tertiary,0,100,0,0,unknown,5,may,1,0,8.8,0
59,management,divorced,tertiary,0,59,1,0,unknown,5,may,1,0,4.55,0
55,technician,married,secondary,0,1205,1,0,unknown,5,may,2,0,2.6333333333333333,0
35,blue-collar,single,secondary,0,12223,1,1,unknown,5,may,1,0,2.95,0
57,blue-collar,married,secondary,0,5935,1,1,unknown,5,may,1,0,4.3,0
31,services,married,secondary,0,25,1,1,unknown,5,may,1,0,2.8666666666666667,0
54,management,married,secondary,0,282,1,1,unknown,5,may,1,0,2.566666666666667,0
55,blue-collar,married,primary,0,23,1,0,unknown,5,may,1,0,4.85,0
43,technician,married,secondary,0,1937,1,0,unknown,5,may,1,0,3.0166666666666666,0
53,technician,married,secondary,0,384,1,0,unknown,5,may,1,0,2.933333333333333,0
44,blue-collar,married,secondary,0,582,0,1,unknown,5,may,1,0,3.5166666666666666,0
55,services,divorced,secondary,0,91,0,0,unknown,5,may,1,0,5.816666666666666,0
49,services,divorced,secondary,0,0,1,1,unknown,5,may,1,0,4.533333333333333,0
55,services,divorced,secondary,1,1,1,0,unknown,5,may,1,0,3.466666666666667,0
45,admin,single,secondary,0,206,1,0,unknown,5,may,1,0,3.216666666666667,0
47,services,divorced,secondary,0,164,0,0,unknown,5,may,1,0,3.533333333333333,0
42,technician,single,secondary,0,690,1,0,unknown,5,may,1,0,0.3333333333333333,0
59,admin,married,secondary,0,2343,1,0,unknown,5,may,1,1,17.366666666666667,0
46,self-employed,married,tertiary,0,137,1,1,unknown,5,may,1,0,4.1,0
51,blue-collar,married,primary,0,173,1,0,unknown,5,may,2,0,8.816666666666666,0
56,admin,married,secondary,0,45,0,0,unknown,5,may,1,1,24.45,0
41,technician,married,secondary,0,1270,1,0,unknown,5,may,1,1,23.15,0
46,management,divorced,secondary,0,16,1,1,unknown,5,may,2,0,3.1333333333333333,0
57,retired,married,secondary,0,486,1,0,unknown,5,may,2,0,3.0,0
42,management,single,secondary,0,50,0,0,unknown,5,may,1,0,0.8,0
30,technician,married,secondary,0,152,1,1,unknown,5,may,2,0,3.55,0
60,admin,married,secondary,0,290,1,0,unknown,5,may,1,0,9.716666666666667,0
57,entrepreneur,divorced,secondary,0,-37,0,0,unknown,5,may,1,0,2.8833333333333333,0
36,management,married,tertiary,0,101,1,1,unknown,5,may,1,0,7.1,0
55,blue-collar,married,secondary,0,383,0,0,unknown,5,may,1,0,4.783333333333333,0
60,retired,married,tertiary,0,81,1,0,unknown,5,may,1,0,1.6833333333333333,0
39,technician,married,secondary,0,0,1,0,unknown,5,may,1,0,3.3833333333333333,0
46,management,married,tertiary,0,229,1,0,unknown,5,may,1,0,3.283333333333333,0
44,blue-collar,married,secondary,0,-674,1,0,unknown,5,may,1,0,4.283333333333333,0
53,blue-collar,married,primary,0,90,0,0,unknown,5,may,1,0,2.066666666666667,0
52,blue-collar,married,primary,0,128,1,0,unknown,5,may,1,0,3.816666666666667,0
59,blue-collar,married,primary,0,179,1,0,unknown,5,may,3,0,0.9166666666666666,0
27,technician,single,tertiary,0,0,1,0,unknown,5,may,1,0,6.666666666666667,0
44,blue-collar,married,secondary,0,54,1,0,unknown,5,may,1,0,3.283333333333333,0
47,technician,married,tertiary,0,151,1,0,unknown,5,may,1,0,3.1666666666666665,0
34,admin,married,secondary,0,61,0,1,unknown,5,may,1,0,0.35,0
59,retired,single,secondary,0,30,1,0,unknown,5,may,1,0,8.566666666666666,0
45,management,married,tertiary,0,523,1,0,unknown,5,may,2,0,14.15,0
29,services,divorced,secondary,0,31,1,0,unknown,5,may,1,0,3.2333333333333334,0
46,technician,divorced,secondary,0,79,0,0,unknown,5,may,1,0,2.4,0
56,self-employed,married,primary,0,-34,1,1,unknown,5,may,2,0,3.533333333333333,0
36,blue-collar,married,primary,0,448,1,0,unknown,5,may,1,0,4.766666666666667,0
59,retired,divorced,primary,0,81,1,0,unknown,5,may,1,0,1.7833333333333334,0
44,blue-collar,married,secondary,0,144,1,0,unknown,5,may,2,0,4.116666666666666,0
41,admin,married,secondary,0,351,1,0,unknown,5,may,1,0,8.633333333333333,0
33,management,single,tertiary,0,-67,1,0,unknown,5,may,1,0,6.066666666666666,0
59,management,divorced,tertiary,0,262,0,0,unknown,5,may,1,0,2.966666666666667,0
57,technician,married,primary,0,0,0,0,unknown,5,may,1,0,1.6333333333333333,0
51,blue-collar,married,secondary,0,26,1,0,unknown,5,may,1,0,1.3166666666666667,0
43,services,married,secondary,0,41,1,1,unknown,5,may,2,0,2.1166666666666667,0
52,technician,married,tertiary,0,7,0,1,unknown,5,may,1,0,2.9166666666666665,0
33,technician,single,secondary,0,105,1,0,unknown,5,may,2,0,4.366666666666666,0
29,admin,single,secondary,0,818,1,1,unknown,5,may,1,0,1.0166666666666666,0
34,services,married,secondary,0,-16,1,1,unknown,5,may,1,0,1.3,0
31,blue-collar,married,secondary,0,0,1,0,unknown,5,may,1,0,2.3833333333333333,0
55,services,married,secondary,0,2476,1,0,unknown,5,may,1,1,9.65,0
32,admin,single,secondary,0,217,1,0,unknown,5,may,1,0,5.75,0
38,technician,single,secondary,0,1685,1,0,unknown,5,may,1,0,3.0833333333333335,0
55,admin,single,secondary,0,802,1,1,unknown,5,may,2,0,1.6666666666666667,0
28,unemployed,single,tertiary,0,0,1,0,unknown,5,may,2,0,2.0833333333333335,0
23,blue-collar,married,secondary,0,94,1,0,unknown,5,may,1,0,3.216666666666667,0
32,technician,single,secondary,0,0,1,0,unknown,5,may,1,0,2.2666666666666666,0
32,blue-collar,married,secondary,0,517,1,0,unknown,5,may,1,0,8.8,0
46,blue-collar,married,secondary,0,265,1,0,unknown,5,may,1,0,9.016666666666667,0
53,housemaid,divorced,primary,0,947,1,0,unknown,5,may,1,0,2.716666666666667,0
34,self-employed,single,secondary,0,3,1,0,unknown,5,may,1,0,5.016666666666667,0
57,unemployed,married,tertiary,0,42,0,0,unknown,5,may,1,0,0.7666666666666667,0
37,blue-collar,married,secondary,0,37,1,0,unknown,5,may,1,0,3.4,0
59,blue-collar,married,secondary,0,57,1,0,unknown,5,may,1,0,1.6333333333333333,0
33,services,married,secondary,0,22,1,0,unknown,5,may,1,0,1.1833333333333333,0
56,blue-collar,divorced,primary,0,8,1,0,unknown,5,may,2,0,2.6166666666666667,0
48,unemployed,married,secondary,0,293,1,0,unknown,5,may,1,0,4.05,0
43,services,married,primary,0,3,1,0,unknown,5,may,2,0,3.1,0
54,blue-collar,married,primary,0,348,1,0,unknown,5,may,2,0,9.65,0
26,student,single,secondary,0,0,1,0,unknown,5,may,2,0,10.166666666666666,1
40,management,married,tertiary,0,-4,1,0,unknown,5,may,1,0,33.88333333333333,0
39,management,married,secondary,0,18,1,0,unknown,5,may,1,0,1.4166666666666667,0
50,technician,married,primary,0,139,0,0,unknown,5,may,2,0,1.9,0
41,services,married,secondary,0,0,1,0,unknown,5,may,2,0,1.9,0
60,retired,divorced,secondary,0,216,1,0,unknown,5,may,1,0,3.966666666666667,0
52,blue-collar,married,secondary,0,782,1,0,unknown,5,may,3,0,1.55,0
48,blue-collar,married,secondary,0,904,1,0,unknown,5,may,2,0,2.1333333333333333,0
39,technician,single,tertiary,0,47,1,0,unknown,5,may,1,0,3.0166666666666666,0
47,services,single,secondary,0,176,1,0,unknown,5,may,2,0,5.05,0
40,blue-collar,married,secondary,0,1225,1,0,unknown,5,may,5,0,9.3,0
45,technician,married,secondary,0,86,1,0,unknown,5,may,1,0,4.5,0
26,admin,single,secondary,0,82,1,0,unknown,5,may,1,0,3.8,0
52,management,married,tertiary,0,271,1,0,unknown,5,may,1,0,1.65,0
54,technician,married,secondary,0,1378,1,0,unknown,5,may,1,0,4.0,0
54,admin,married,tertiary,0,184,0,0,unknown,5,may,2,1,11.216666666666667,0
50,blue-collar,married,primary,0,0,0,0,unknown,5,may,3,0,3.8833333333333333,0
35,blue-collar,married,secondary,0,0,1,0,unknown,5,may,1,0,17.6,0
44,services,married,secondary,0,1357,1,1,unknown,5,may,1,0,4.166666666666667,0
35,retired,single,primary,0,434,0,0,unknown,5,may,1,0,2.3,0
60,admin,divorced,secondary,0,92,1,0,unknown,5,may,1,0,2.1666666666666665,0
53,admin,divorced,secondary,0,1151,1,0,unknown,5,may,1,0,6.866666666666666,0
48,unemployed,married,secondary,0,41,1,0,unknown,5,may,2,0,2.9833333333333334,0
34,technician,married,secondary,0,51,1,0,unknown,5,may,2,0,0.31666666666666665,0
54,services,married,secondary,0,214,1,0,unknown,5,may,2,0,7.633333333333334,0
51,management,married,secondary,0,1161,1,0,unknown,5,may,1,0,11.95,0
31,services,married,tertiary,0,37,1,0,unknown,5,may,1,0,5.216666666666667,0
35,technician,divorced,secondary,0,787,1,0,unknown,5,may,2,0,11.383333333333333,0
35,services,married,secondary,0,59,1,0,unknown,5,may,1,0,17.95,0
38,technician,married,secondary,0,253,1,0,unknown,5,may,1,0,6.933333333333334,0
36,admin,married,tertiary,0,211,1,0,unknown,5,may,2,0,2.433333333333333,0
58,retired,married,primary,0,235,1,0,unknown,5,may,1,0,2.783333333333333,0
54,management,married,secondary,0,4080,0,0,unknown,5,may,1,0,2.3333333333333335,0
34,blue-collar,single,secondary,0,53,1,1,unknown,5,may,1,0,5.766666666666667,0
31,management,single,tertiary,0,0,1,0,unknown,5,may,1,0,9.366666666666667,0
51,retired,married,secondary,0,2127,1,0,unknown,5,may,1,0,2.8666666666666667,0
33,management,married,tertiary,0,377,1,0,unknown,5,may,1,0,3.6166666666666667,0
55,management,married,tertiary,0,73,1,0,unknown,5,may,2,0,2.3666666666666667,0
42,admin,married,secondary,0,445,1,0,unknown,5,may,1,0,1.1166666666666667,0
34,blue-collar,married,secondary,0,243,1,0,unknown,5,may,1,0,4.85,0
33,blue-collar,single,secondary,0,307,1,0,unknown,5,may,2,0,5.15,0
38,services,married,secondary,0,155,1,0,unknown,5,may,1,0,4.133333333333334,0
50,technician,divorced,tertiary,0,173,0,1,unknown,5,may,1,0,1.6333333333333333,0
43,management,married,tertiary,0,400,1,0,unknown,5,may,1,0,4.266666666666667,0
61,blue-collar,divorced,primary,0,1428,1,0,unknown,5,may,2,0,1.3666666666666667,0
47,admin,married,secondary,0,219,1,0,unknown,5,may,1,0,9.616666666666667,0
48,self-employed,married,tertiary,0,7,1,0,unknown,5,may,1,0,4.766666666666667,0
44,blue-collar,married,secondary,0,575,1,0,unknown,5,may,1,0,7.95,0
35,services,married,secondary,0,0,1,0,unknown,5,may,1,0,7.85,0
50,services,married,secondary,0,5699,1,0,unknown,5,may,2,0,6.35,0
41,management,married,tertiary,0,176,1,1,unknown,5,may,1,0,0.7,0
41,management,married,tertiary,0,517,1,0,unknown,5,may,1,0,4.183333333333334,0
42,retired,married,secondary,0,56,1,0,unknown,5,may,1,0,3.5833333333333335,0
38,blue-collar,married,secondary,0,-390,1,0,unknown,5,may,1,0,4.783333333333333,0
53,retired,married,secondary,0,330,1,0,unknown,5,may,2,0,3.6,0
59,housemaid,divorced,primary,0,195,0,0,unknown,5,may,2,0,6.1,0
36,services,married,secondary,0,301,1,0,unknown,5,may,1,0,3.5,0
54,blue-collar,married,primary,0,-41,1,0,unknown,5,may,1,0,4.8,0
40,technician,married,tertiary,0,483,1,0,unknown,5,may,1,0,2.8,0
46,housemaid,married,primary,0,965,0,0,unknown,5,may,1,0,2.95,0
39,management,married,tertiary,0,378,1,1,unknown,5,may,2,0,2.1166666666666667,0
40,unemployed,married,secondary,0,219,1,0,unknown,5,may,1,0,5.95,0
28,blue-collar,married,primary,0,324,1,0,unknown,5,may,1,0,2.9166666666666665,0
35,entrepreneur,divorced,secondary,0,-69,1,0,unknown,5,may,1,0,5.0,0
55,retired,married,secondary,0,0,0,1,unknown,5,may,1,0,2.2666666666666666,0
48,blue-collar,married,primary,0,278,1,0,unknown,5,may,2,0,2.0833333333333335,0
33,management,single,tertiary,0,34,1,0,unknown,5,may,1,0,0.45,0
53,services,divorced,secondary,0,1467,1,0,unknown,5,may,1,0,2.066666666666667,0
47,blue-collar,married,primary,0,-12,1,0,unknown,5,may,1,0,0.3,0
31,services,married,secondary,0,388,1,0,unknown,5,may,2,0,12.166666666666666,0
57,entrepreneur,married,secondary,0,294,1,0,unknown,5,may,2,0,12.433333333333334,0
55,blue-collar,married,primary,0,627,1,0,unknown,5,may,1,0,4.116666666666666,0
45,blue-collar,married,primary,0,25,1,0,unknown,5,may,1,0,0.6666666666666666,0
53,admin,divorced,secondary,0,315,1,0,unknown,5,may,2,0,3.0166666666666666,0
37,blue-collar,married,primary,0,0,1,0,unknown,5,may,1,0,1.3166666666666667,0
44,admin,divorced,secondary,0,66,1,0,unknown,5,may,1,0,3.433333333333333,0
49,blue-collar,divorced,primary,0,-9,1,1,unknown,5,may,1,0,6.483333333333333,0
46,technician,married,secondary,0,349,1,1,unknown,5,may,1,0,2.1166666666666667,0
38,admin,married,secondary,0,0,0,0,unknown,5,may,1,0,2.5166666666666666,0
