,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,duration_in_minutes,kmeans_label,tsne_x,tsne_y,tsne_z,y,index
39054,25,blue-collar,single,secondary,0,217,1,0,cellular,18,may,1,8.4,0,-2.0974054,-4.573521,4.0791764,1,39054
36714,39,management,single,tertiary,0,5073,1,0,cellular,12,may,1,19.7,1,17.226398,0.9389083,7.8585052,1,36714
33968,35,management,married,tertiary,0,193,1,0,cellular,30,apr,1,9.416667,0,-2.8128977,-7.1402183,3.7306914,1,33968
6162,30,entrepreneur,single,primary,0,0,1,1,unknown,27,may,1,17.516666,0,-12.79055,2.6676416,-3.6890705,1,6162
20643,40,management,married,secondary,0,4396,0,0,cellular,12,aug,3,7.2,1,16.280703,-3.660581,8.457008,1,20643
33962,38,unemployed,married,tertiary,0,2812,1,0,cellular,30,apr,1,13.833333,0,12.811815,-5.7767825,-8.766579,1,33962
33994,33,blue-collar,single,unknown,0,129,1,1,cellular,30,apr,1,8.033334,0,-7.607072,-12.503583,0.13981341,1,33994
26562,33,management,married,tertiary,0,3401,0,0,cellular,20,nov,1,4.2166667,1,14.961295,-9.112056,-0.4342094,1,26562
19683,36,technician,single,secondary,0,651,0,0,cellular,7,aug,1,14.6,0,-1.2166183,0.8809722,-10.082417,1,19683
4427,29,services,single,secondary,0,271,1,0,unknown,20,may,2,31.366667,0,-3.057241,0.15662195,5.998784,1,4427
32027,36,technician,married,secondary,0,15485,0,0,cellular,14,apr,1,7.6833334,2,21.82642,1.5917275,-7.755566,1,32027
39957,40,student,single,secondary,0,595,1,0,cellular,3,jun,2,6.766667,0,-1.2403352,4.793845,-9.167782,1,39957
33913,60,housemaid,married,primary,0,1163,0,0,cellular,30,apr,8,7.8333335,0,4.2414775,-6.6141944,11.73212,1,33913
24174,49,admin,married,secondary,0,3608,1,0,unknown,13,nov,1,3.85,1,15.380514,-8.738395,2.6599052,1,24174
7348,30,admin,married,secondary,0,873,1,0,unknown,29,may,3,13.2,0,4.0723953,-10.838501,-2.6087284,1,7348
31639,50,blue-collar,married,primary,0,4979,0,0,telephone,6,apr,1,3.0,1,17.081114,0.37934774,8.153351,1,31639
27098,53,blue-collar,married,secondary,0,1777,1,0,cellular,21,nov,5,13.266666,0,9.486875,10.432304,0.13522515,1,27098
26774,45,blue-collar,married,primary,0,5461,1,0,cellular,20,nov,2,14.016666,1,17.834284,2.7075193,6.0759544,1,26774
33775,74,retired,married,primary,0,670,0,0,cellular,23,apr,5,4.4333334,0,0.343747,-0.6499299,-10.456713,1,33775
8344,29,blue-collar,single,secondary,0,260,1,0,unknown,2,jun,14,11.783334,0,-2.5818684,-0.15727818,4.1092014,1,8344
26830,41,technician,single,secondary,0,650,1,0,cellular,20,nov,3,40.333332,0,-1.1215638,0.64544564,-11.290955,1,26830
10164,35,blue-collar,divorced,unknown,0,164,0,0,unknown,11,jun,2,16.116667,0,-3.8014235,-9.841657,1.5418028,1,10164
32089,78,unknown,married,unknown,0,2235,0,0,telephone,14,apr,3,5.0,0,10.7231245,5.2140217,-9.026898,1,32089
26455,39,unemployed,single,tertiary,0,7,1,0,cellular,20,nov,4,15.516666,0,-13.202928,4.561468,-3.2261045,1,26455
32050,44,admin,divorced,secondary,0,0,0,0,cellular,14,apr,1,26.566668,0,-14.807582,6.0325956,-2.6612248,1,32050
34211,47,technician,married,secondary,0,335,0,0,cellular,4,may,1,6.95,0,-3.9818175,7.5953474,7.148818,1,34211
18884,51,housemaid,divorced,tertiary,0,1613,0,0,cellular,4,aug,1,14.5,0,8.5314865,9.157461,5.5979667,1,18884
22840,53,technician,single,secondary,0,925,0,0,cellular,25,aug,3,15.5,0,4.302761,-12.740516,0.82070345,1,22840
37328,52,services,married,primary,0,306,1,0,cellular,13,may,5,10.833333,0,-3.005835,3.9591656,8.185585,1,37328
